Name,JavaScript Percentage,Test Framework,License,Open Source
iframe-resizer,63.32%,jest,Other,No
academicpages.github.io,23.79%,no framework test,MIT License,Yes
casl,51.39%,no framework test,MIT License,Yes
leaflet,88.04%,mocha,"BSD 2-Clause ""Simplified"" License",Yes
github-readme-stats,99.85%,jest,MIT License,Yes
handsontable,93.26%,no framework test,Other,No
katex,85.82%,jest,MIT License,Yes
hapi,99.12%,no framework test,Other,No
mjml,100.00%,no framework test,MIT License,Yes
formidable,98.28%,jest,MIT License,Yes
backstopjs,92.96%,mocha,MIT License,Yes
openpgpjs,97.97%,mocha,GNU Lesser General Public License v3.0,Yes
arkime,29.07%,jest,Apache License 2.0,Yes
dash.js,99.41%,mocha,Other,No
axe-core,89.08%,mocha,Mozilla Public License 2.0,Yes
up-for-grabs.net,49.39%,jest,Other,No
meteor,91.08%,no framework test,Other,No
ghost,69.89%,no framework test,MIT License,Yes
lighthouse,94.52%,mocha,Apache License 2.0,Yes
mocha,89.27%,no framework test,MIT License,Yes
fe-interview,57.66%,no framework test,MIT License,Yes
plotly.js,99.68%,jasmine,MIT License,Yes
emotion,68.13%,no framework test,MIT License,Yes
aframe,98.30%,mocha,MIT License,Yes
nginxconfig.io,71.47%,jest,MIT License,Yes
reactstrap,82.40%,jest,MIT License,Yes
compromise,99.73%,no framework test,MIT License,Yes
ungit,86.45%,mocha,MIT License,Yes
openzeppelin-contracts,44.45%,no framework test,MIT License,Yes
react-native-firebase,59.39%,jest,Other,No
openmct,62.49%,no framework test,Other,No
habitica,53.02%,mocha,Other,No
aws-sdk-js,80.63%,mocha,Apache License 2.0,Yes
engine,100.00%,mocha,MIT License,Yes
styled-jsx,99.97%,ava,MIT License,Yes
caniuse,100.00%,no framework test,Creative Commons Attribution 4.0 International,Yes
cli,99.71%,no framework test,Other,No
listen1_desktop,67.87%,no framework test,MIT License,Yes
social-analyzer,100.00%,no framework test,GNU Affero General Public License v3.0,Yes
leetcode-patterns,79.20%,no framework test,GNU General Public License v3.0,Yes
pipedream,90.57%,jest,Other,No
hakuneko,84.78%,jest,The Unlicense,Yes
drei,59.39%,no framework test,MIT License,Yes
javascript-algorithms,99.99%,jest,MIT License,Yes
vue-cli,75.05%,jest,MIT License,Yes
ublock,88.77%,no framework test,GNU General Public License v3.0,Yes
core-js,99.81%,no framework test,MIT License,Yes
semantic-release,100.00%,ava,MIT License,Yes
natural,66.92%,jasmine,MIT License,Yes
brave-browser,100.00%,no framework test,Mozilla Public License 2.0,Yes
webpack-dev-server,100.00%,jest,MIT License,Yes
i18next,84.49%,no framework test,MIT License,Yes
autocannon,100.00%,no framework test,MIT License,Yes
countly-server,82.46%,mocha,Other,No
